player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000865,C.Batch,PIT,2010,2,REG,5,11,25,0,0,2,6,0,0,110,21,0,-10.005162295436538,0,-0.015931019611515718,1,0,0,1,0,0,-0.9826335804536939,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,1
00-0000865,C.Batch,PIT,2010,3,REG,12,17,186,3,2,0,-0,0,0,153,55,7,7.614506379528751,0,0.332648282291804,5,26,0,0,0,2,3.388114267261699,0,0,0,0,0,0,0,0,0,0,NA,0,0,18.040000000000003,18.040000000000003
00-0000865,C.Batch,PIT,2010,4,REG,12,21,141,0,1,2,15,0,0,278,46,6,-0.1526955439875901,0,0.053022203727446975,1,4,0,0,0,0,-0.7147446675226092,0,0,0,0,0,0,0,0,0,0,NA,0,0,4.04,4.04
00-0001231,J.Bidwell,WAS,2010,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,0,0,1,0,0,-3.1183648602454923,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
00-0001545,T.Bouman,JAX,2010,7,REG,18,34,222,2,2,1,6,0,0,250,121,12,-5.270315934365083,0,0.07878222207186371,2,8,0,0,0,1,2.3774894687812775,0,0,0,0,0,0,0,0,0,0,NA,0,0,13.680000000000003,13.680000000000003
00-0002110,M.Brunell,NYJ,2010,4,REG,1,1,7,0,0,0,-0,0,0,6,1,1,1.0913846902549267,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.28,0.28
00-0002110,M.Brunell,NYJ,2010,17,REG,6,12,110,2,1,1,7,0,0,153,22,6,-1.8502120870980434,0,0.08496373014909864,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,10.4,10.4
00-0003035,D.Clark,CHI,2010,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,2,12,0,0,0,8,5,1,-2.572293902048841,0,0,1.2000000000000002,2.2
00-0003292,K.Collins,TEN,2010,2,REG,17,25,149,1,1,2,5,2,1,220,25,9,0.5432695724302903,1,0.1317883894864663,2,-1,0,0,0,0,-2.32093066725065,0,0,0,0,0,0,0,0,0,0,NA,0,0,7.860000000000001,7.860000000000001
00-0003292,K.Collins,TEN,2010,6,REG,11,16,110,1,0,0,-0,0,0,89,46,7,9.270279397536264,0,0.27095776537946253,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,8.3,8.3
00-0003292,K.Collins,TEN,2010,7,REG,17,31,276,3,2,3,23,1,1,393,59,8,2.1563387516168278,0,0.12713988611302082,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,17.04,17.04
00-0003292,K.Collins,TEN,2010,8,REG,8,15,52,0,0,0,-0,0,0,179,20,2,-3.724863490089774,0,-0.004967939290714082,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,2.08,2.08
00-0003292,K.Collins,TEN,2010,10,REG,9,20,51,0,0,0,-0,0,0,168,23,2,-6.403384730560521,0,-0.08511373343109481,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,2.04,2.04
00-0003292,K.Collins,TEN,2010,13,REG,14,32,169,0,2,1,6,0,0,359,41,8,-7.757032978487842,0,-0.03748876604221187,1,4,0,0,0,0,-0.16280019737314433,0,0,0,0,0,0,0,0,0,0,NA,0,0,3.1599999999999997,3.1599999999999997
00-0003292,K.Collins,TEN,2010,14,REG,28,39,244,3,0,0,-0,0,0,207,109,16,14.553111481305677,0,0.2202671419765803,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,21.759999999999998,21.759999999999998
00-0003292,K.Collins,TEN,2010,15,REG,14,24,237,2,1,3,25,0,0,330,38,12,11.256248534486994,0,0.24097170895968106,2,-2,0,0,0,0,-1.6361515457974747,0,0,0,0,0,0,0,0,0,0,NA,0,0,15.280000000000001,15.280000000000001
00-0003292,K.Collins,TEN,2010,16,REG,14,37,235,2,2,3,22,0,0,517,31,12,-10.934071934665553,0,-0.07880156121661039,2,-1,0,1,0,0,-1.365395143860951,0,0,0,0,0,0,0,0,0,0,NA,0,0,13.299999999999999,13.299999999999999
00-0003292,K.Collins,TEN,2010,17,REG,28,39,300,2,0,1,10,0,0,261,145,14,14.463464905430143,0,0.1853480026902038,2,2,0,1,1,1,-3.8448948012082838,0,0,0,0,0,0,0,0,0,0,NA,0,0,18.2,18.2
00-0003315,T.Collins,CHI,2010,4,REG,4,11,36,0,1,0,-0,0,0,82,17,1,-5.359248243748334,0,-0.06711288184520699,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,-0.56,-0.56
00-0003315,T.Collins,CHI,2010,5,REG,6,16,32,0,4,2,15,0,0,104,26,1,-20.08849623705413,0,-0.031046662681363912,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,-6.72,-6.72
00-0003315,T.Collins,CHI,2010,20,POST,0,4,0,0,0,0,-0,0,0,45,0,0,-4.115377422422171,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
00-0004161,J.Delhomme,CLE,2010,1,REG,20,37,227,1,2,0,-0,0,0,363,108,8,-8.72900865306651,0,0.007694281608857219,1,1,0,0,0,0,-1.1740429066121578,0,0,0,0,0,0,0,0,0,0,NA,0,0,9.18,9.18
00-0004161,J.Delhomme,CLE,2010,5,REG,13,23,97,0,2,1,10,0,0,153,35,6,-12.608026164816692,0,0.005592188617853558,1,0,0,1,0,0,-2.0366502478442476,0,0,0,0,0,0,0,0,0,0,NA,0,0,-0.1200000000000001,-0.1200000000000001
00-0004161,J.Delhomme,CLE,2010,12,REG,24,35,245,0,2,2,18,1,0,193,133,12,-7.719842364487704,0,0.08214553573036973,2,2,0,0,0,1,-0.8179396634807219,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.000000000000001,6.000000000000001
00-0004161,J.Delhomme,CLE,2010,13,REG,24,34,217,1,0,2,17,0,0,240,84,8,-1.7204115583274224,0,0.10273031511524153,4,-5,0,0,0,0,-2.943749574970558,0,0,0,0,0,0,0,0,0,0,NA,0,0,12.18,12.18
00-0004161,J.Delhomme,CLE,2010,14,REG,12,20,86,0,1,1,4,1,1,170,14,2,-13.62346012177808,0,0.02364546630303628,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,-0.56,-0.56
00-0004541,D.Driver,GB,2010,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,5,7,30,1,0,0,54,2,4,1.2041485686204396,0,0,9,14
00-0004541,D.Driver,GB,2010,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,5,38,1,0,0,41,12,3,3.4037017503287643,0,0,9.8,13.8
00-0004541,D.Driver,GB,2010,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,9,11,61,0,0,0,72,22,4,2.9268636556807905,0,0,6.1000000000000005,15.100000000000001
00-0004541,D.Driver,GB,2010,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,3,89,1,0,0,85,4,3,7.81867403013166,0,0,14.9,17.9
00-0004541,D.Driver,GB,2010,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,8,58,0,0,0,67,20,2,0.06308138863889523,0,0,5.800000000000001,9.8
00-0004541,D.Driver,GB,2010,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,5,31,0,0,0,54,19,2,1.0829970026388764,0,0,3.1,6.1
00-0004541,D.Driver,GB,2010,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,9,0,0,-0.7286204150877893,0,0,0,0
